EL1: Electronic Ladder,A1: 4Wk_frozen,B1: 8Wk_frozen,C1: 12Wk_frozen,D1: 16Wk_frozen,E1: 20Wk_frozen,F1: 24Wk_frozen,G1: 36Wk_frozen,H1: 48Wk_frozen,A2: 60Wk_frozen
1.43209,17.6967,141.15,163.2532,124.9665,324.0464,109.0614,602.042,0,283.3814
1.565934,17.36282,143.5516,163.2707,118.4436,320.5926,106.4848,635.8837,0,286.2513
1.778693,17.17524,145.8407,162.9161,113.6198,316.0626,104.7777,664.7365,0,285.9522
1.832576,16.89043,148.2937,162.1269,110.6976,309.8246,103.5686,691.3765,0,281.6837
1.958308,16.73843,150.682,160.688,109.6931,302.229,103.2375,716.0621,0,272.6987
2.013226,16.562,153.0163,158.7501,109.9275,293.7677,103.3282,734.3253,0,259.6701
1.900956,16.4607,155.326,156.2893,111.8911,284.5585,104.1124,748.123,0,242.4164
1.976776,16.44205,157.7065,153.5561,115.5984,274.1923,105.626,758.0798,0,221.9633
1.942533,16.33945,160.0713,151.0184,121.1266,263.7831,108.2161,762.3531,0,200.2431
2.064632,16.2931,162.2519,148.3779,128.466,253.8421,111.7976,759.9951,0,177.7237
2.001075,16.20003,164.7359,146.3335,137.8561,243.2386,116.5962,754.6663,0,156.1143
2.192392,16.29224,167.3636,144.7534,149.5983,233.7478,122.9129,744.1758,0.04304314,136.7402
2.310712,16.35113,169.8496,143.6379,163.6909,225.3783,131.1178,730.6746,2.287287,120.2926
2.362311,16.5104,172.5535,143.1957,180.4202,218.3627,141.0377,713.8945,4.831348,107.09
2.456297,16.97322,175.2385,143.416,199.3742,213.1813,153.5211,694.2211,7.602905,97.56074
2.468528,17.49651,177.6261,144.4689,221.2051,209.8063,168.1489,672.2075,10.59043,91.55441
2.466484,18.40464,180.4331,146.1791,243.6963,208.8112,185.7133,647.0656,13.79342,89.14613
2.562199,19.58624,183.4612,148.6691,268.4248,209.8386,206.0101,621.7578,17.23215,90.16257
2.688143,21.03345,186.4096,151.9093,296.5515,212.4969,228.2483,592.512,20.76322,94.47903
2.760905,23.03216,189.5685,156.3022,328.2474,218.0858,253.4171,564.4211,24.59812,102.0268
2.684251,25.39259,193.1247,161.5638,361.9694,225.4052,281.8078,537.0879,28.8255,113.2537
2.796084,28.3786,197.5833,167.2619,398.6932,234.9097,314.8118,510.3083,33.2923,127.1414
2.842338,32.03176,201.994,173.3292,437.4168,245.165,351.4183,485.751,38.03254,144.2218
2.957272,36.56945,206.7876,179.4761,477.4216,256.2099,392.92,461.7231,42.9611,164.1467
3.109657,42.11031,211.8892,185.3484,518.3858,267.3882,437.751,439.6866,48.12936,187.2379
3.35411,48.78286,218.0567,191.1792,558.8495,278.8346,487.771,422.2982,53.62275,212.5789
3.562705,56.57486,224.743,196.2502,598.5402,289.1095,540.9547,404.7487,59.40465,240.7595
3.711011,65.3876,231.7564,200.4641,634.123,297.615,596.0894,391.4453,65.44745,270.9813
3.779229,75.49231,239.5952,204.2112,670.0032,304.2556,652.0066,379.5656,71.7897,303.1046
3.873752,86.86821,248.7523,207.2106,704.4037,308.8991,711.0411,370.3455,78.65904,336.9184
