EL1: Electronic Ladder,A1: Fresh_Mo_F_1,B1: Fresh_Mo_F_2,C1: Fresh_Mo_F_3
319.0791,19.83736,40.42354,43.43019
380.6234,19.64458,40.30766,42.54789
434.3946,19.45945,40.31752,41.59267
474.1948,19.2531,40.34416,40.63679
496.6637,19.03851,40.38243,39.82192
499.2065,18.77587,40.3498,38.885
485.083,18.60813,40.35783,38.09084
460.3896,18.332,40.40927,37.31065
427.2648,18.03438,40.40741,36.53999
391.7967,17.72121,40.31974,35.68064
351.8622,17.55066,40.27882,34.9459
313.5379,17.39935,40.05976,34.06015
275.9799,17.12924,40.00888,33.21179
241.4358,16.87513,39.89802,32.38614
210.9331,16.62693,39.80533,31.63137
184.3872,16.3951,39.6644,30.88469
161.9705,16.2395,39.62361,30.15862
143.8161,16.03281,39.54735,29.55449
128.2083,15.9194,39.44551,28.88998
116.2876,15.70778,39.28286,28.24994
106.7961,15.63813,39.16582,27.765
100.4204,15.50891,39.04789,27.20163
95.38192,15.24041,38.89322,26.57605
93.35226,15.06941,38.72558,25.96181
92.64267,14.87834,38.62034,25.39996
94.22371,14.67967,38.5062,24.76684
96.90433,14.56673,38.36976,24.11435
